CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-ESC,DRCN,Eventos da Área,NA,International Conference on the Design of Reliable Communication Networks,14,A5,DRCN
CE-ESC,DS-RT,Eventos da Área,NA,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,14,A5,DS-RT
CE-SI,DSAA,Eventos da Área,NA,IEEE International Conference on Data Science and Advanced Analytics,27,A2,DSAA
CE-IHC,DSAI,Eventos da Área,NA,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,NA,A8,DSAI
CE-CCI,DSD,Top 20,NA,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",20,A3,DSD
CE-TF,DSN,Top 10,NA,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,37,A1,DSN
CE-TF,DSNW,Eventos da Área,NA,IEEE International Conference on Dependable Systems and Networks Workshops,NA,A8,DSNW
CE-CCI,DSP,Eventos da Área,NA,International Conference on Digital Signal Processing,8,A7,DSP
CE-BD,DSW,Eventos da Área,5,Dataset Showcase Workshop,NA,A8,DSW
CE-JOGOS,DiGRA,Top 20,NA,Digital Games Research Association International Conference,NA,A6,DIGRA
CE-RESD,DySPAN,Eventos da Área,NA,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,21,A3,DYSPAN
CE-IE,E-Learning,Eventos da Área,NA,IADIS International Conference on e-Learning,NA,A8,E-LEARNING
CE-PLN,EACL,Top 10,NA,Conference of the European Chapter of the Association for Computational Linguistics,77,A1,EACL
CE-ES,EASE,Eventos da Área,NA,International Conference on Evaluation and Assessment in Software Engineering,31,A2,EASE
CE-SI,EATIS,Top 20,NA,Euro American Conference on Telematics and Information Systems,6,A6,EATIS
CE-WEBMEDIA,EC,Eventos da Área,NA,ACM conference on Economics and Computation,54,A1,EC
CE-IE,EC-TEL,Top 10,NA,European Conference on Technology Enhanced Learning,23,A3,EC-TEL
CE-IA,ECAI,Top 20,NA,European Conference on Artificial Intelligence,44,A1,ECAI
CE-R,ECC,Eventos da Área,NA,European Control Conference,34,A2,ECC
CE-ACO,ECCO,Eventos da Área,NA,European Chapter on Combinatorial Optimization,NA,A8,ECCO
CE-CCI,ECCTD,Eventos da Área,NA,European Conference on Circuit Theory and Design,NA,A8,ECCTD
CE-GRAPI,ECCV,Eventos da Área,NA,European Conference on Computer Vision,262,A1,ECCV
CE-BD,ECIR,Eventos da Área,NA,European Conference on Information Retrieval,47,A1,ECIR
CE-SI,ECIS,Top 10,NA,European Conference on Information Systems,39,A1,ECIS
CE-IC,ECML,Top 10,NA,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,45,A1,ECML
CE-IA,ECML PKDD,Eventos da Área,NA,European Conference on Machine Learning and Knowledge Discovery in Databases,45,A1,ECML PKDD
CE-R,ECMR*,Top 20,NA,European Conference on Mobile Robots,NA,A6,ECMR*
CE-LP,ECOOP,Top 10,NA,European Conference on Object-Oriented Programming,21,A3,ECOOP
CE-ESC,ECRTS,Top 10,NA,Euromicro Conference on Real-Time Systems,22,A3,ECRTS
CE-ES,ECSA,Eventos da Área,NA,European Conference on Software Architecture,21,A3,ECSA
CE-SC,ECSCW,Top 10,NA,European Conference on Computer Supported Cooperative Work,NA,A5,ECSCW
CE-IA,ECSQARU,Eventos da Área,NA,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,12,A5,ECSQARU
CE-BD,EDBT,Top 10,NA,International Conference on Extending Database Technology,29,A2,EDBT
CE-TF,EDCC,Top 20,NA,European Dependable Computing Conference,16,A3,EDCC
CE-IE,EDM,Top 10,NA,International Conference on Educational Data Mining,32,A2,EDM
CE-SI,EDOC,Eventos da Área,NA,IEEE International Enterprise Distributed Object Computing Conference,NA,A8,EDOC
CE-IE,EDUCON,Eventos da Área,NA,IEEE Global Engineering Education Conference,35,A1,EDUCON
CE-IE,EDULEARN,Top 20,NA,International Conference on Education and New Learning Technologies,22,A3,EDULEARN
CE-SI,EGOV,Top 10,NA,International Conference on Electronic Government,17,A3,EGOV
CE-SI,EGOVIS,Eventos da Área,NA,International Conference on Electronic Government and the Information Systems Perspective,NA,A8,EGOVIS
CE-IHC,EICS,Top 20,NA,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,12,A4,EICS
CE-BD,EJC,Eventos da Área,NA,International Conference on Information Modeling and Knowledge,7,A7,EJC
CE-PLN,ELC,Top 20,NA,Encontro de Linguística de Corpus,NA,A6,ELC
CE-Geoinformática,EM-GIS,Eventos da Área,NA,International Workshop on the Use of GIS in Emergency Management,NA,A8,EM-GIS
CE-CAS,EMBC,Top 10,NA,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,48,A1,EMBC
CE-SI,EMCIS,Eventos da Área,NA,"European, Mediterranean, and Middle Eastern Conference on Information Systems",14,A5,EMCIS
CE-IA,EMNDKLP,Top 20,NA,Conference on Empirical Methods in Natural Language Processing,NA,A6,EMNDKLP
CE-PLN,EMNLP,Top 10,NA,Conference on Empirical Methods in Natural Language Processing,218,A1,EMNLP
CE-SI,ENANPAD,Eventos da Área,NA,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,NA,A8,ENANPAD
CE-ES,ENASE,Eventos da Área,NA,International Conference on Evaluation of Novel Approaches to Software Engineering,16,A4,ENASE
CE-IA,ENIAC,Top 10,20,Encontro Nacional de Inteligencia Artificial e Computacional,9,A4,ENIAC
CE-GRAPI,EPIA,Eventos da Área,NA,Portuguese Conference on Artificial Intelligence,16,A4,EPIA
CE-Geoinformática,ER,Top 10,NA,International Conference on Conceptual Modeling,24,A3,ER
CE-ES,ERES,Eventos da Área,NA,Escola Regional de Engenharia de Software,4,A8,ERES
CE-ACO,ESA,Top 10,NA,European Symposium on Algorithms,25,A2,ESA
CE-GRAPI,ESANN,Eventos da Área,NA,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",20,A3,ESANN
CE-ES,ESEM,Eventos da Área,NA,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,30,A2,ESEM
CE-GRAPI,ESGSR,Eventos da Área,NA,Eurographics Symposium on Rendering,NA,A8,ESGSR
CE-LP,ESOP,Top 10,NA,European Symposium on Programming,27,A2,ESOP
CE-CCI,ESREF,Eventos da Área,NA,European Symposium on Reliability of Electron Devices Failure Physics and Analysis,NA,A8,ESREF
CE-CCI,ESSCIRC,Eventos da Área,NA,European Solid State Circuits Conference,21,A3,ESSCIRC
CE-CCI,ESSDERC,Eventos da Área,NA,European Solid State Device Research Conference,15,A4,ESSDERC
CE-IA,ESWC,Eventos da Área,NA,Extended Semantic Web Conference,32,A2,ESWC
CE-WEBMEDIA,ESWS,Top 20,NA,European Semantic Web Conference,41,A1,ESWS
CE-ACO,ETC,Eventos da Área,9,Encontro de Teoria da Computação,4,A8,ETC
CE-ESC,ETFA,Top 20,NA,IEEE International Conference on Emerging Technologies and Factory Automation,34,A2,ETFA
CE-CCI,ETS,Eventos da Área,NA,IEEE European Test Symposium,16,A4,ETS
CE-ESC,EUC,Eventos da Área,NA,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,NA,A8,EUC
CE-ACO,EUROCOMB,Top 20,NA,"European Conference on Combinatorics, Graph Theory and Applications",0,NA,EUROCOMB
CE-SEG,EUROCRYPT,Top 10,NA,International Conference on Theory and Applications of Cryptographic Techniques,66,A1,EUROCRYPT
CE-ACPAD,EUROPAR,Top 20,NA,European Conference on Parallel Computing,19,A3,EUROPAR
CE-ES,EUROPLOP,Eventos da Área,NA,European Conference on Pattern Languages of Programs,NA,A8,EUROPLOP
CE-GRAPI,EUSIPCO,Eventos da Área,NA,European Signal Processing Conference,38,A1,EUSIPCO
CE-RESD,EWSDN,Eventos da Área,NA,European Workshop on Software Defined Networks,NA,A8,EWSDN
CE-RESD,EWSN,Eventos da Área,NA,European Conference on Wireless Sensor Networks,19,A4,EWSN
CE-RESD,EuCNC,Eventos da Área,NA,European Conference on Networks and Communications,25,A2,EUCNC
CE-ACPAD,EuroMPI,Eventos da Área,NA,European MPI Users Group Meeting,0,NA,EUROMPI
CE-SEG,EuroS&P,Top 10,NA,IEEE European Symposium on Security and Privacy,52,A1,EUROS&P
CE-ES,EuroSPI,Eventos da Área,NA,European Conference on Software Process Improvement,17,A4,EUROSPI
CE-GRAPI,EuroVis,Top 10,NA,EG/VGTC Conference on Visualization,NA,A5,EUROVIS
CE-MF,FACS,Top 20,NA,International Conference on Formal Aspects of Component Software,19,A3,FACS
CE-MF,FASE,Top 10,NA,International Conference on Fundamental Approaches to Software Engineering,0,NA,FASE
CE-JOGOS,FASE4Games,Top 20,NA,Foundations of Applied Software Engineering for Games Workshop,NA,A6,FASE4GAMES
CE-BD,FAST,Eventos da Área,NA,USENIX Conference on File and Storage Technologies,40,A1,FAST
CE-SEG,FC,Top 10,NA,International Conference on Financial Cryptography and Data Security,50,A1,FC
CE-ESC,FCCM,Top 20,NA,IEEE Annual International Symposium on Field-Programmable Custom Computing Machines,NA,A6,FCCM
CE-ACO,FCT,Eventos da Área,NA,International Symposium on Fundamentals of Computation Theory,NA,A8,FCT
CE-JOGOS,FDG,Top 10,NA,Foundations of Digital Games,27,A2,FDG
CE-LP,FDL,Eventos da Área,NA,Forum on Specification and Design Languages,NA,A8,FDL
CE-SI,FEDCSIS,Eventos da Área,NA,Federated Conference on Computer Science and Information Systems,23,A3,FEDCSIS
CE-GRAPI,FG,Eventos da Área,NA,IEEE International Conference on Automatic Face & Gesture Recognition,50,A1,FG
CE-IE,FIE,Top 10,NA,IEEE Frontiers in Education Conference,30,A2,FIE
CE-GRAPI,FIMH,Eventos da Área,NA,Functional Imaging and Modeling of the Heart,13,A5,FIMH
GI-L,FLOPS,TOP 20,NA,International Symposium on Functional and Logic Programming,NA,A6,FLOPS
CE-MF,FM,Top 10,NA,International Symposium on Formal Methods,20,A3,FM
CE-MF,FMCAD,Top 10,NA,International Conference on Formal Methods in Computer-Aided Design,0,NA,FMCAD
CE-RESD,FNWF,Eventos da Área,NA,IEEE Future Networks World Forum,7,A7,FNWF
CE-ACO,FOCS,Top 10,NA,IEEE Annual Symposium on Foundations of Computer Science,62,A1,FOCS
CE-BD,FOIS,Eventos da Área,NA,International Conference on Formal Ontology in Information Systems,NA,A8,FOIS
CE-BD,FOMI,Eventos da Área,NA,International Workshop on Formal Ontologies Meet Industry,11,A6,FOMI
CE-ESC,FPGA,Top 10,NA,Symposium on Field Programmable Gate Arrays,40,A1,FPGA
CE-ESC,FPL,Top 10,NA,International Conference on Field-Programmable Logic and Applications,33,A2,FPL
CE-CCI,FPT,Eventos da Área,NA,IEEE International Conference on Field-Programmable Technology,21,A3,FPT
GI-L,FROCOS,TOP 20,NA,International Symposium on Frontiers of Combining Systems,NA,A6,FROCOS
GI-L,FSCD,TOP 10,NA,International Conference on Formal Structures for Computation and Deduction,NA,A5,FSCD
CE-ES,FSE,Top 10,NA,Fast Software Encryption,NA,A5,FSE
CE-R,FSR*,Eventos da Área,NA,Conference on Field and Service Robotics,NA,A8,FSR*
CE-ACO,FSTTCS,Eventos da Área,NA,Foundations of Software Technology and Theoretical Computer Science,13,A5,FSTTCS
CE-ACO,FUN,Eventos da Área,NA,International Conference on Fun with Algorithms,NA,A8,FUN
CE-R,FUSION,Eventos da Área,NA,International Conference on Information Fusion,31,A2,FUSION
CE-IA,FUZZ,Top 20,NA,IEEE International Conference on Fuzzy Systems,25,A2,FUZZ
CE-RESD,FiCloud,Eventos da Área,NA,International Conference on Future Internet of Things and Cloud,23,A3,FICLOUD
GI-L,FoSSaCS,TOP 10,NA,International Conference on Foundations of Software Science and Computation Structures,20,A3,FOSSACS
CE-JOGOS,GALA,Top 20,NA,Games and Learning Alliance Conference,NA,A6,GALA
CE-JOGOS,GAS,Top 20,NA,International Workshop on Games and Software Engineering,NA,A6,GAS
CE-ACO,GD,Eventos da Área,NA,International Symposium on Graph Drawing and Network Visualization,13,A5,GD
CE-IA,GECCO,Top 20,NA,Genetic and Evolutionary Computation Conference,49,A1,GECCO
CE-JOGOS,GEM,Top 20,NA,"IEEE Games, Entertainment, Media Conference",NA,A6,GEM
CE-Geoinformática,GEOBIA,Top 20,NA,Geographic Object-based Image Analysis,NA,A6,GEOBIA
CE-Geoinformática,GEOprocessing,Top 20,NA,"International Conference on Advanced Geographic Information Systems, Applications, and Services (GEOProcessing)",NA,A6,GEOPROCESSING
CE-RV,GI,Top 20,NA,Graphics Interface Conference,13,A4,GI
CE-Geoinformática,GIR,Top 20,NA,Workshop on Geographic Information Retrieval,NA,A6,GIR
CE-Geoinformática,GIScience,Top 10,NA,International Conference on Geographic Information Science,13,A3,GISCIENCE
CE-RESD,GLOBECOM,Top 10,NA,IEEE Global Communications Conference,64,A1,GLOBECOM
CE-CCI,GLSVLSI,Eventos da Área,NA,Great Lakes Symposium on VLSI,26,A2,GLSVLSI
CE-LP,GPCE,Top 20,NA,ACM International Conference on Generative Programming: Concepts and Experiences,NA,A6,GPCE
CE-GRAPI,GRAPP,Top 20,NA,International Conference on Computer Graphics Theory and Applications,11,A5,GRAPP
CE-SC,GROUP,Top 10,NA,International Conference on Supporting Group Work,NA,A5,GROUP
CE-Geoinformática,GVIZ,Eventos da Área,NA,Workshop on New Directions in Geovisual Analytics,NA,A8,GVIZ
CE-Geoinformática,GeoAI,Eventos da Área,NA,International Workshop on AI for Geographic Knowledge Discovery,NA,A8,GEOAI
CE-Geoinformática,GeoSim,Eventos da Área,NA,International Workshop on Geospatial Simulation,NA,A8,GEOSIM
CE-RESD,GreenCom,Eventos da Área,NA,IEEE International Conference on Green Computing and Communications,NA,A8,GREENCOM
CE-RV,HAPTICS,Top 10,NA,IEEE Haptics Symposium,17,A3,HAPTICS
CE-R,HAPTICS*,Eventos da Área,NA,IEEE Haptics Symposium,0,NA,HAPTICS*
CE-TF,HASE,Top 20,NA,IEEE International Symposium on High Assurance Systems Engineering,0,NA,HASE
CE-IHC,HCI-COLLAB,Eventos da Área,NA,Iberoamerican Workshop on Human-Computer Interaction,NA,A8,HCI-COLLAB
CE-IHC,HCII,Eventos da Área,NA,International Conference on Human-Computer Interaction,45,A1,HCII
CE-SC,HCOMP,Top 20,NA,AAAI Conference on Human Computation and Crowdsourcing,NA,A6,HCOMP
CE-IHC,HCSE,Eventos da Área,NA,International Conference on Human-Centered Software Engineering,NA,A8,HCSE
CE-CAS,HEALTHINF,Top 20,NA,International Conference on Health Informatics,18,A3,HEALTHINF
CE-SC,HICSS,Top 20,NA,Hawaii International Conference on System Sciences,59,A1,HICSS
CE-ACPAD,HIPC,Top 20,NA,IEEE International Conference on High Performance Computing,0,NA,HIPC
CE-IC,HIS,Eventos da Área,NA,International Conference on Hybrid Intelligent Systems,15,A4,HIS
CE-SEG,HOST,Eventos da Área,NA,IEEE International Symposium on Hardware Oriented Security and Trust,26,A2,HOST
CE-RESD,HOTNETS,Top 20,NA,ACM Workshop on Hot Topics in Networks,24,A3,HOTNETS
CE-ACPAD,HPCA,Top 10,NA,IEEE International Symposium on High Performance Computer Architecture,59,A1,HPCA
CE-ACPAD,HPCC,Top 20,NA,International Conference on High Performance Computing and Communications,23,A3,HPCC
CE-ACPAD,HPCS,Eventos da Área,NA,International Conference on High Performance Computing & Simulation,18,A4,HPCS
CE-ACPAD,HPDC,Top 20,NA,International Symposium on High Performance Distributed Computing,24,A3,HPDC
CE-IHC,HRI,Top 20,NA,ACM/IEEE International Conference on Human Robot Interaction,55,A1,HRI
CE-LP,HS,Eventos da Área,NA,Haskell Symposium,NA,A8,HS
CE-WEBMEDIA,HT,Top 10,NA,ACM Conference on Hypertext and Social Media,NA,A5,HT
CE-R,Humanoids,Top 10,NA,IEEE RAS International Conference on Humanoid Robot,25,A2,HUMANOIDS
CE-RV,I/ITSEC,Eventos da Área,NA,"Interservice/Industry Training, Simulation & Education Conference",NA,A8,I/ITSEC
CE-IHC,IARIA,Eventos da Área,NA,International Conference on Advances in Computer-Human Interaction,NA,A8,IARIA
CE-SI,IAS,Eventos da Área,NA,Industry Applications Society Annual Meeting,NA,A8,IAS
CE-R,IAV**,Eventos da Área,NA,IFAC Symposium on Intelligent Autonomous Vehicles,NA,A8,IAV**
CE-CCI,IBERCHIP,Eventos da Área,NA,Workshop Iberchip,NA,A8,IBERCHIP
CE-PLN,IBERSPEECH,Eventos da Área,NA,IberSPEECH Conference,NA,A8,IBERSPEECH
CE-SI,IC3K,Eventos da Área,NA,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",10,A6,IC3K
CE-TF,ICA3PP,Eventos da Área,NA,International Conference on Algorithms and Architectures for Parallel Processing,15,A4,ICA3PP
CE-ACO,ICALP,Top 10,NA,"International Colloquium on Automata, Languages, and Programming",34,A2,ICALP
CE-IE,ICALT,Top 10,NA,IEEE International Conference on Advanced Learning Technologies,23,A3,ICALT
CE-IC,ICANN,Top 20,NA,International Conference on Artificial Neural Networks,32,A2,ICANN
CE-IA,ICAPS,Top 10,NA,International Conference on Automated Planning and Scheduling,35,A1,ICAPS
CE-RV,ICAR,Eventos da Área,NA,International Conference on Advanced Robotics,20,A3,ICAR
CE-R,ICAR*,Top 10,NA,International Conference on Advanced Robotics,NA,A5,ICAR*
CE-R,ICARA*,Eventos da Área,NA,"International Conference on Automation, Robotics and Applications",NA,A8,ICARA*
CE-R,ICARCV,Eventos da Área,NA,"International Conference on Control, Automation, Robotics and Vision",NA,A8,ICARCV
CE-R,ICARM,Eventos da Área,NA,International Conference on Advanced Robotics and Mechatronics,16,A4,ICARM
CE-R,ICAROB,Eventos da Área,NA,International Conference on Artificial Life and Robotics,NA,A8,ICAROB
CE-R,ICARSC,Eventos da Área,NA,IEEE International Conference on Autonomous Robot Systems and Competitions,19,A4,ICARSC
CE-CM,ICASSP,Top 10,NA,"IEEE International Conference on Acoustics, Speech and Signal Processing",137,A1,ICASSP
CE-GRAPI,ICB,Top 10,NA,International Conference on Biometrics,NA,A5,ICB
CE-SEG,ICBC,Eventos da Área,NA,IEEE International Conference on Blockchain and Cryptocurrency,39,A1,ICBC
CE-TF,ICBCT,Eventos da Área,NA,Internacional Conference on Blockchain Technology,16,A4,ICBCT
CE-RESD,ICC,Top 10,NA,IEEE International Conference on Communications,76,A1,ICC
CE-RESD,ICC Workshops,Eventos da Área,NA,International Conference on Communications Workshops,NA,A8,ICC WORKSHOPS
CE-R,ICCA,Eventos da Área,NA,IEEE International Conference on Control and Automation,18,A4,ICCA
CE-BioComp,ICCABS,Top 20,NA,International Conference on Computational Advances in Bio and Medical Sciences,0,NA,ICCABS
CE-CCI,ICCAD,Top 10,NA,IEEE/ACM International Conference on Computer-Aided Design,46,A1,ICCAD
CE-R,ICCAR,Eventos da Área,NA,"International Conference on Control, Automation and Robotics",20,A3,ICCAR
CE-RESD,ICCCN,Eventos da Área,NA,International Conference on Computer Communications and Networks,31,A2,ICCCN
CE-CCI,ICCD,Top 20,NA,International Conference on Computer Design,23,A3,ICCD
CE-IE,ICCE-EDU,Eventos da Área,NA,International Conference on Computers in Education,NA,A8,ICCE-EDU
CE-IHC,ICCHP,Eventos da Área,NA,International Conference on Computers Helping People with Special Needs,16,A4,ICCHP
CE-ESC,ICCPS,Top 20,NA,International Conference on Cyber-Physical Systems,27,A2,ICCPS
CE-ACPAD,ICCS,Eventos da Área,NA,International Conference on Computational Science,NA,A8,ICCS
GI-L,ICCTCC,TOP 20,NA,"International Conference on Computability Theory, Computability and Complexity",NA,A6,ICCTCC
CE-GRAPI,ICCV,Eventos da Área,NA,IEEE International Conference on Computer Vision,291,A1,ICCV
CE-GRAPI,ICCVW,Top 10,NA,IEEE International Conference on Computer Vision Workshops,80,A1,ICCVW
CE-GRAPI,ICDAR,Eventos da Área,NA,International Conference on Document Analysis and Recognition,50,A1,ICDAR
CE-TF,ICDCN,Top 20,NA,International Conference on Distributed Computing and Networking,20,A3,ICDCN
CE-TF,ICDCS,Top 10,NA,International Conference on Distributed Computing Systems,50,A1,ICDCS
CE-TF,ICDCSW,Eventos da Área,NA,International Conference on Distributed Computing Systems Workshops,0,NA,ICDCSW
CE-BD,ICDE,Top 10,NA,IEEE International Conference on Data Engineering,82,A1,ICDE
CE-SEG,ICDF,Eventos da Área,NA,IFIP International Conference on Digital Forensics,NA,A8,ICDF
CE-SI,ICDIM,Eventos da Área,NA,International Conference on Digital Information Management,NA,A8,ICDIM
CE-GRAPI,ICDIP,Eventos da Área,NA,International Conference on Digital Image Processing,12,A5,ICDIP
CE-R,ICDL-EpiRob,Eventos da Área,NA,IEEE International Conference on Development and Learning and Epigenetic Robotics,NA,A8,ICDL-EPIROB
CE-IC,ICDM,Top 10,NA,IEEE International Conference on Data Mining,53,A1,ICDM
CE-BD,ICDT,Top 20,NA,International Conference on Database Theory,21,A3,ICDT
CE-RV,ICDVRAT,Eventos da Área,NA,"International Conference on Disability, Virtual Reality & Associated Technologies",NA,A8,ICDVRAT
CE-CCI,ICE-CCN,Eventos da Área,NA,"International Conference on Emerging Trends in Computing, Communication and Nanotechnology",NA,A8,ICE-CCN
CE-JOGOS,ICEC,Top 10,NA,IFIP International Conference on Entertainment Computing,NA,A5,ICEC
CE-CCI,ICECS,Top 10,NA,"IEEE International Conference on Electronics, Circuits and Systems",18,A3,ICECS
CE-SI,ICEGOV,Eventos da Área,NA,International Conference on Theory and Practice of Eletronic Governance,21,A3,ICEGOV
CE-BD,ICEIS,Top 20,NA,International Conference on Enterprise Information Systems,23,A3,ICEIS
CE-IE,ICEIT,Eventos da Área,NA,International Conference on Educational and Information Technology,13,A5,ICEIT
CE-IE,ICEMT,Top 20,NA,International Conference on Education and Multimedia Technology,12,A4,ICEMT
CE-RV,ICER,Eventos da Área,NA,International Computing Education Research,32,A2,ICER
CE-IE,ICET,Top 20,NA,International Conference on Education and Technology,23,A3,ICET
CE-IE,ICETC,Top 20,NA,International Conference on Education Technology and Computer,11,A5,ICETC
CE-MF,ICFEM,Top 10,NA,International Conference on Formal Engineering Methods,12,A3,ICFEM
CE-LP,ICFP,Top 10,NA,International Conference on Functional Programming,0,NA,ICFP
CE-ES,ICGSE,Eventos da Área,NA,IEEE International Conference on Global Software Engineering,NA,A8,ICGSE
CE-MF,ICGT,Top 20,NA,International Conference on Graph Transformation,NA,A6,ICGT
CE-CAS,ICHI,Top 10,NA,IEEE International Conference on Healthcare Informatics,27,A2,ICHI
CE-GRAPI,ICIAP,Top 20,NA,International Conference on Image Analysis and Processing,21,A3,ICIAP
CE-SEG,ICICS,Eventos da Área,NA,International Conference on Information and Communications Security,16,A4,ICICS
CE-JOGOS,ICIDS,Top 10,NA,International Conference on Interactive Digital Storytelling,NA,A5,ICIDS
CE-IE,ICIET,Top 20,NA,International Conference on Information and Education Technology,15,A3,ICIET
CE-ESC,ICIIECS,Eventos da Área,NA,"International Conference on Innovations in Information, Embedded and Communication Systems",21,A3,ICIIECS
CE-SI,ICIIS,Eventos da Área,NA,IEEE International Conference on Industrial and Information Systems,18,A4,ICIIS
CE-R,ICINCO,Eventos da Área,NA,"International Conference on Informatics in Control, Automation and Robotics",15,A4,ICINCO
CE-GRAPI,ICIP,Eventos da Área,NA,IEEE International Conference on Image Processing,66,A1,ICIP
CE-R,ICIRA,Eventos da Área,NA,International Conference on Intelligent Robotics and Applications,15,A4,ICIRA
CE-SI,ICIS,Top 10,NA,International Conference on Information Systems,39,A1,ICIS
CE-SEG,ICISC,Eventos da Área,NA,International Conference on Information Security and Cryptology,12,A5,ICISC
CE-IHC,ICISO,Eventos da Área,NA,International Conference on Informatics and Semiotics in Organisations,NA,A8,ICISO
CE-SEG,ICISS,Eventos da Área,NA,International Conference on Information Systems Security,NA,A8,ICISS
CE-SI,ICIT,Eventos da Área,NA,IEEE International Conference on Industrial Technology,NA,A8,ICIT
CE-IE,ICITE,Top 20,NA,International Conference on Information Technology and Education,15,A3,ICITE
CE-SI,ICITS,Eventos da Área,NA,International Conference on Information Theoretic Security,NA,A8,ICITS
CE-IHC,ICIV,Eventos da Área,NA,International Conference on Information Visualisation,NA,A8,ICIV
GI-L,ICLP,TOP 10,NA,International Conference on Logic Programming,NA,A5,ICLP
CE-GRAPI,ICLR,Eventos da Área,NA,International Conference on Learning Representations,362,A1,ICLR
CE-CCI,ICM,Eventos da Área,NA,International Conference on Microelectronics,16,A4,ICM
CE-R,ICMA,Eventos da Área,NA,IEEE International Conference on Mechatronics and Automation,17,A4,ICMA
CE-CM,ICMC,Top 10,NA,International Computer Music Conference,NA,A5,ICMC
CE-R,ICMCR,Eventos da Área,NA,"International Conference on Mechatronics, Control and Robotics",NA,A8,ICMCR
CE-WEBMEDIA,ICME,Top 10,NA,IEEE International Conference on Multimedia and Expo,50,A1,ICME
CE-RV,ICMEW,Eventos da Área,NA,IEEE International Conference on Multimedia and Expo Workshops,26,A2,ICMEW
CE-IHC,ICMI,Top 20,NA,ACM International Conference on Multimodal Interfaces,34,A2,ICMI
CE-IA,ICML,Top 10,NA,International Conference on Machine Learning,272,A1,ICML
CE-IC,ICMLA,Top 20,NA,IEEE International Conference on Machine Learning and Applications,40,A1,ICMLA
CE-CM,ICMPC,Top 20,NA,International Conference on Music Perception and Cognition,NA,A6,ICMPC
CE-WEBMEDIA,ICMR,Top 10,NA,ACM International Conference on Multimedia Retrieval,34,A2,ICMR
CE-RESD,ICNC,Top 20,NA,"International Conference on Computing, Networking and Communications",28,A2,ICNC
CE-RESD,ICNP,Top 20,NA,International Conference on Network Protocols,27,A2,ICNP
CE-RESD,ICOIN,Eventos da Área,NA,International Conference on Information Networking,28,A2,ICOIN
CE-ESC,ICOMP,Eventos da Área,NA,International Conference on Internet Computing and Internet of Things,NA,A8,ICOMP
CE-IC,ICONIP,Eventos da Área,NA,International Conference on Neural Information Processing,35,A1,ICONIP
CE-R,ICORR*,Top 20,NA,IEEE International Conference on Rehabilitation Robotics,NA,A6,ICORR*
CE-ACPAD,ICPADS,Eventos da Área,NA,International Conference on Parallel and Distributed Systems,24,A3,ICPADS
CE-ES,ICPC,Eventos da Área,NA,International Conference on Program Comprehension,33,A2,ICPC
CE-ESC,ICPE,Eventos da Área,NA,International Conference on Performance Engineering,27,A2,ICPE
CE-CM,ICPME,Eventos da Área,NA,"International Conference on Philosophy, Music and Emotion",NA,A8,ICPME
CE-ACPAD,ICPP,Top 20,NA,International Conference on Parallel Processing,14,A4,ICPP
CE-GRAPI,ICPR,Eventos da Área,NA,International Conference on Pattern Recognition,68,A1,ICPR
CE-GRAPI,ICPRAM,Eventos da Área,NA,International Conference on Pattern Recognition Applications and Methods,21,A3,ICPRAM
CE-R,ICRA,Top 10,NA,IEEE International Conference on Robotics and Automation,129,A1,ICRA
CE-R,ICRAE,Eventos da Área,NA,International Conference on Robotics and Automation Engineering,11,A6,ICRAE
CE-ACPAD,ICS,Top 20,NA,International Conference on Supercomputing,26,A2,ICS
CE-CM,ICSC,Top 20,NA,International Conference on Semantic Computing,23,A3,ICSC
CE-ES,ICSE,Top 10,NA,International Conference on Software Engineering,98,A1,ICSE
CE-ES,ICSE-NIER,Eventos da Área,NA,ACM International Conference on Software Engineering: New Ideas and Emerging Results,22,A3,ICSE-NIER
CE-ES,ICSE-SEET,Eventos da Área,NA,Software Engineering Education and Training of ICSE,NA,A8,ICSE-SEET
CE-ES,ICSE-SEIP,Eventos da Área,NA,ACM International Conference on Software Engineering: Software Engineering in Practice,34,A2,ICSE-SEIP
CE-ES,ICSE-SEIS,Top 20,NA,International Conference on Software Engineering: Software Engineering in Society,NA,A6,ICSE-SEIS
CE-IE,ICSLE,Eventos da Área,NA,International Conference on Smart Learning Environments,NA,A8,ICSLE
CE-ES,ICSME,Top 10,NA,IEEE International Conference on Software Maintenance and Evolution,36,A1,ICSME
CE-ES,ICSOB,Eventos da Área,NA,International Conference on Software Business,13,A5,ICSOB
