CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-ES,MSSiS,Eventos da Área,5,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,NA,A8,MSSIS
CE-RESD,MSWIM,Eventos da Área,NA,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",19,A4,MSWIM
CE-BD,MTSR,Eventos da Área,NA,International Conference on Metadata and Semantics Research,11,A6,MTSR
CE-WEBMEDIA,MUM,Eventos da Área,NA,International Conference on Mobile and Ubiquitous Multimedia,19,A4,MUM
CE-RV,MVA,Eventos da Área,NA,IAPR International Conference on Machine Vision Applications,18,A4,MVA
CE-R,MVA*,Eventos da Área,NA,International Conference on Machine Vision Applications,NA,A8,MVA*
CE-CCI,MWSCAS,Top 20,NA,International Midwest Symposium on Circuits and Systems,20,A3,MWSCAS
CE-RESD,ManSDN/NFV,Eventos da Área,NA,International Workshop on Management of SDN and NFV Systems,NA,A8,MANSDN/NFV
CE-RESD,MedComNet,Eventos da Área,NA,Mediterranean Communication and Computer Networking Conference,NA,A8,MEDCOMNET
CE-WEBMEDIA,MoMM,Eventos da Área,NA,International Conference on Advances in Mobile Computing & Multimedia,9,A6,MOMM
CE-RESD,MobiQuitous,Eventos da Área,NA,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",NA,A8,MOBIQUITOUS
CE-RESD,MobiSys,Top 10,NA,"Annual International Conference on Mobile Systems, Applications, and Services",40,A1,MOBISYS
CE-IHC,MobileHCI,Top 10,NA,International Conference on Human-Computer Interaction with Mobile Devices and Services,NA,A5,MOBILEHCI
CE-PLN,NAACL,Top 10,NA,North American Chapter of the Association for Computational Linguistics Annual Meeting,133,A1,NAACL
CE-TF,NCA,Eventos da Área,NA,IEEE International Symposium on Network Computing and Applications,20,A3,NCA
CE-SEG,NDSS,Top 10,NA,Network and Distributed System Security Symposium,78,A1,NDSS
CE-RESD,NEW2AN,Eventos da Área,NA,"International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems",NA,A8,NEW2AN
CE-CCI,NEWCAS,Top 20,NA,IEEE International New Circuits and Systems Conference,13,A4,NEWCAS
CE-MF,NFM,Top 10,NA,NASA Formal Methods Symposium,20,A3,NFM
CE-RESD,NFV-SDN,Eventos da Área,NA,IEEE Conference on Network Function Virtualization and Software Defined Networks,18,A4,NFV-SDN
CE-CM,NIME,Top 10,NA,International Conference on New Interfaces for Musical Expression,NA,A5,NIME
CE-IC,NIPS,Top 10,NA,Neural Information Processing Systems,NA,A5,NIPS
CE-SI,NISS,Eventos da Área,NA,"International Conference on Networking, Information Systems & Security",18,A4,NISS
CE-PLN,NLDB,Eventos da Área,NA,International Conference on Application of Natural Language to Information Systems,19,A4,NLDB
CE-CCI,NOCS,Top 20,NA,ACM/IEEE International Symposium on Networks-on-Chip,0,NA,NOCS
CE-RESD,NOF,Eventos da Área,NA,International Conference on Network of the Future,12,A5,NOF
CE-RESD,NOMS,Eventos da Área,NA,IEEE/IFIP Network Operations and Management Symposium,33,A2,NOMS
CE-CCI,NORCAS,Eventos da Área,NA,Nordic Circuits and Systems Conference,10,A6,NORCAS
CE-RESD,NSDI,Top 10,NA,Networked Systems Design and Implementation,65,A1,NSDI
CE-SEG,NSS,Eventos da Área,NA,Network and System Security,15,A4,NSS
CE-SEG,NTMS,Eventos da Área,NA,"IFIP International Conference on New Technologies, Mobility and Security",27,A2,NTMS
CE-RESD,NetSoft,Eventos da Área,NA,IEEE NetSoft Conference and Workshops,NA,A8,NETSOFT
CE-RESD,NetSys,Eventos da Área,NA,International Conference on Networked Systems,12,A5,NETSYS
CE-RESD,Networking,Top 20,NA,IFIP Networking Conference,NA,A6,NETWORKING
CE-IA,NeurIPS,Top 10,NA,Neural Information Processing Systems,371,A1,NEURIPS
CE-IHC,NordiCHI,Top 10,NA,Nordic Conference on Human-Computer Interaction,31,A2,NORDICHI
CE-R,OCEAN,Eventos da Área,NA,IEEE Oceans Conference,22,A3,OCEAN
CE-PLN,ONTOBRAS,Top 20,NA,Seminar on Ontology Research in Brazil,7,A6,ONTOBRAS
CE-LP,OOPSLA,Top 10,NA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",65,A1,OOPSLA
CE-ACO,OP,Eventos da Área,NA,SIAM Conference on Optimization,NA,A8,OP
CE-TF,OPODIS,Top 20,NA,International Conference on Principles of Distributed Systems,19,A3,OPODIS
CE-TF,OSDI,Eventos da Área,NA,USENIX Symposium on Operating Systems Design and Implementation,68,A1,OSDI
CE-ES,OSS,Eventos da Área,NA,International Conference on Open Source Systems,NA,A8,OSS
CE-LP,Onward!,Eventos da Área,NA,Onward!,NA,A8,ONWARD!
CE-ES,OpenScienSE,Eventos da Área,3,Workshop de Práticas de Ciência Aberta para Engenharia de Software,NA,A8,OPENSCIENSE
CE-SC,OpenSym,Top 20,NA,International Symposium on Open Collaboration,NA,A6,OPENSYM
CE-IHC,OzCHI,Top 20,NA,Australian Conference on Human-Computer Interaction,19,A3,OZCHI
CE-BioComp,PACBB,Top 10,NA,International Conference on Practical Applications of Computational Biology & Bioinformatics,7,A5,PACBB
CE-SI,PACIS,Eventos da Área,NA,Pacific Asia Conference on Information Systems,25,A2,PACIS
CE-ACPAD,PACT,Eventos da Área,NA,International Conference on Parallel Computing Technologies,9,A6,PACT
CE-ACPAD,PACTT,Top 20,NA,International Conference on Parallel Architectures and Compilation Techniques,23,A3,PACTT
CE-IC,PAKDD,Top 20,NA,Pacific-Asia Conference on Knowledge Discovery and Data Mining,33,A2,PAKDD
CE-RESD,PAM,Eventos da Área,NA,Passive and Active Network Measurement Conference,21,A3,PAM
CE-CCI,PATMOS,Eventos da Área,NA,"International Workshop on Power and Timing Modeling, Optimization and Simulation",NA,A8,PATMOS
