issn,percentil,NIVEL,name
00071005,76,A2,British Journal of Educational Studies
00071013,99,A1,British Journal of Educational Technology
00071048,84,A2,British Journal of Haematology
00071080,64,A3,British Journal of Industrial Relations
00071102,83,A2,British Journal of Mathematical and Statistical Psychology
00071145,83,A2,British Journal of Nutrition
00071161,96,A1,British Journal of Ophthalmology
00071188,95,A1,British Journal of Pharmacology
00071234,98,A1,British Journal of Political Science
00071250,96,A1,British Journal of Psychiatry
00071269,94,A1,British Journal of Psychology
00071285,79,A2,British Journal of Radiology
00071315,92,A1,British Journal of Sociology
00071323,98,A1,British Journal of Surgery
00071420,96,A1,British Medical Bulletin
00071595,21,A7,Bulletin of the British Ornithologists' Club
00071668,79,A2,British Poultry Science
00071773,83,A2,Journal of the British Society for Phenomenology
00071870,25,A6,British Tax Review
0007196X,22,A7,Brittonia
0007215X,82,A2,Brodogradnja
00072303,80,A2,Brookings Papers on Economic Activity
00072745,48,A5,Bryologist
00073938,5,A8,Spisanie Na B Lgarskoto Geologichesko Druzhestov-Review of the Bulgarian Geological Society
00074322,4,A8,Bulletin de Litterature Ecclesiastique
00074497,73,A3,Bulletin des Sciences Mathematiques
00074551,35,A6,Bulletin du Cancer
00074640,39,A5,Bulletin Hispanique
00074853,76,A2,Bulletin of Entomological Research
00074861,73,A3,Bulletin of Environmental Contamination and Toxicology
00074888,31,A6,Bulletin of Experimental Biology and Medicine
00074918,96,A1,Bulletin of Indonesian Economic Studies
00074977,46,A5,Bulletin of Marine Science
00075027,44,A5,Laboratory Medicine
00075108,9,A8,Bulletin of the Comediantes
00075140,75,A2,Bulletin of the History of Medicine
00075922,19,A7,Mitteilungen Klosterneuburg
00076287,25,A6,Burlington Magazine
00076503,99,A1,Business and Society
0007666X,47,A5,Business Economics
00076791,97,A1,Business History
00076805,91,A1,Business History Review
00076813,94,A1,Business Horizons
00076899,56,A4,Business Lawyer
00077704,77,A2,Byzantinische Zeitschrift
00077712,58,A4,Byzantinoslavica
00077720,49,A5,Canadian Review of American Studies
00078069,24,A7,CEA Critic
00078506,83,A2,CIRP Annals
00079235,100,A1,Ca-A Cancer Journal for Clinicians
00079723,36,A6,Cahiers de Biologie Marine
00079731,9,A8,Cahiers de Civilisation Medievale
0007974X,16,A7,Cahiers de Droit
00079871,26,A6,Cahiers de Lexicologie
00079960,26,A6,Cahiers de Nutrition et de Dietetique
00080055,55,A4,Cahiers d'Etudes Africaines
00080624,85,A2,Calcolo
00080683,11,A8,Calcutta Statistical Association Bulletin
00080845,58,A4,California Agriculture
00081221,91,A1,California Law Review
00081256,93,A1,California Management Review
00081795,26,A6,Calvin Theological Journal
00081973,79,A2,Cambridge Law Journal
0008199X,43,A5,Cambridge Quarterly
00083194,25,A6,Journal of the Canadian Chiropractic Association
0008347X,59,A4,Canadian Entomologist
00083496,89,A1,Canadian Ethnic Studies
0008350X,77,A2,Canadian Family Physician
00083550,7,A8,Canadian Field-Naturalist
00083658,52,A4,Canadian Geographies/Geographies Canadiennes
00083674,83,A2,Canadian Geotechnical Journal
00083755,30,A6,Canadian Historical Review
00083968,95,A1,Canadian Journal of African Studies
00083976,92,A1,Canadian Journal of Agricultural Economics
00083984,68,A3,Canadian Journal of Animal Science
